Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
9/10/2019,46.15999985,47.10800171,45.7879982,47.10800171,24418500,0,0
9/9/2019,46,46.7519989,45.84600067,46.35800171,24013500,0,0
9/6/2019,45.43999863,45.9280014,45.0340004,45.49000168,20947000,0,0
9/5/2019,44.5,45.95999908,44.16999817,45.91600037,36976500,0,0
9/4/2019,45.37799835,45.69200134,43.84199905,44.13600159,28805000,0,0
9/3/2019,44.81600189,45.79000092,44.63199997,45.0019989,26770500,0,0
8/30/2019,45.83000183,46.48799896,44.84199905,45.12200165,46603000,0,0
8/29/2019,43.79999924,44.68000031,43.59999847,44.34199905,25897500,0,0
8/28/2019,42.73799896,43.45000076,42.4620018,43.11800003,16127500,0,0
8/27/2019,43.14799881,43.75999832,42.40599823,42.81600189,27081000,0,0
8/26/2019,42.72000122,43.00400162,42.30799866,43,25259500,0,0
8/23/2019,43.99399948,44.23400116,42.20000076,42.27999878,42693000,0,0
8/22/2019,44.56000137,45.08000183,43.64400101,44.43000031,32795000,0,0
8/21/2019,44.40200043,44.64400101,43.52000046,44.16600037,38971500,0,0
8/20/2019,45.52399826,45.81800079,44.90800095,45.17200089,20626000,0,0
8/19/2019,44.84199905,45.56600189,44.34000015,45.36600113,26548000,0,0
8/16/2019,43.33200073,44.44800186,43.20399857,43.98799896,25492500,0,0
8/15/2019,44.17200089,44.31200027,42.31000137,43.12799835,40798000,0,0
8/14/2019,46.24200058,46.29999924,43.33800125,43.92399979,47813000,0,0
8/13/2019,45.76200104,47.20000076,45.50999832,47,24240500,0,0
8/12/2019,46.59799957,47.15399933,45.75,45.80199814,23319500,0,0
8/9/2019,47.20999908,47.79199982,46.76200104,47.0019989,19491000,0,0
8/8/2019,46.88999939,47.95999908,46.52999878,47.65999985,26371500,0,0
8/7/2019,45.29999924,46.7140007,45.15999985,46.68399811,23882500,0,0
8/6/2019,46.37599945,46.5,45.15000153,46.15000153,27821000,0,0
8/5/2019,45.91999817,46.27399826,45.15599823,45.66400146,35141500,0,0
8/2/2019,46.27000046,47.25400162,45.84600067,46.86800003,30682500,0,0
8/1/2019,48.52999878,48.90200043,46.35400009,46.77000046,41297500,0,0
7/31/2019,48.59999847,49.33599854,47.33000183,48.3219986,45891000,0,0
7/30/2019,46.58000183,48.67200089,46.43600082,48.45199966,40545000,0,0
7/29/2019,45.41799927,47.18799973,45.20600128,47.15399933,46366500,0,0
7/26/2019,45.38399887,46.05199814,44.45000076,45.60800171,50138500,0,0
7/25/2019,46.70000076,46.90000153,45.11000061,45.76399994,112091500,0,0
7/24/2019,51.83399963,53.2140007,51.63199997,52.97600174,55364000,0,0
7/23/2019,51.34199905,52.09600067,50.90000153,52.0340004,25115500,0,0
7/22/2019,51.75,52.43000031,50.83800125,51.13600159,34212000,0,0
7/19/2019,51.13800049,51.99200058,50.92399979,51.63600159,35242000,0,0
7/18/2019,51.00999832,51.15000153,50.37799835,50.70800018,23793000,0,0
7/17/2019,51.13399887,51.66199875,50.66999817,50.97200012,48823500,0,0
7/16/2019,49.86000061,50.70600128,49.58599854,50.47600174,40745000,0,0
7/15/2019,49.59999847,50.88399887,48.97200012,50.70000076,55000500,0,0
7/12/2019,47.95000076,49.07600021,47.94200134,49.01599884,46002500,0,0
7/11/2019,47.62799835,48.29999924,47.15999985,47.72000122,37572000,0,0
7/10/2019,46.83000183,47.7879982,46.62799835,47.7840004,45728500,0,0
7/9/2019,45.79399872,46.20000076,45.45600128,46.01200104,30954000,0,0
7/8/2019,46.2480011,46.45000076,45.73199844,46.06800079,29402500,0,0
7/5/2019,46.91400146,47.09000015,46.15999985,46.61999893,35328500,0,0
7/3/2019,47.87799835,48.31399918,46.90200043,46.97999954,71005500,0,0
7/2/2019,45.77799988,45.83000183,44.44400024,44.90999985,46295000,0,0
7/1/2019,46.04199982,46.61999893,45.25600052,45.43399811,41067000,0,0
6/28/2019,44.19800186,45.0340004,44.15999985,44.69200134,34257000,0,0
6/27/2019,43.88999939,44.58000183,43.47000122,44.56800079,31698500,0,0
6/26/2019,44.06200027,45.44599915,43.61999893,43.85400009,42536000,0,0
