,Hyundai,Accent ," $16,270.00 ",Manufacturer,Model,MSRP,Company
374,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG E-Class,"$75,945 ",
375,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG GT,"$113,695 ",
376,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG S-Class,"$170,445 ",
377,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG SL,"$155,445 ",
378,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG SLC,"$64,895 ",
379,,,,Mercedes,2020 Mercedes-Benz S-Class,"$131,145 ",
380,,,,Mercedes,2020 Mercedes-Benz SL,"$91,995 ",
381,,,,Mercedes,2020 Mercedes-Benz SLC,"$50,945 ",
382,,,,Mercedes,2020 Mercedes-Benz E-Class,"$67,095 ",
383,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG E-Class,"$112,745 ",
384,,,,Mercedes,2020 Mercedes-Benz C-Class,"$54,945 ",
385,,,,Mercedes,2020 Mercedes-Benz E-Class,"$72,395 ",
386,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG C-Class,"$65,745 ",
387,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG E-Class,"$82,645 ",
388,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG GT,"$125,695 ",
389,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG S-Class,"$181,095 ",
390,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG SL,"$155,445 ",
391,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG SLC,"$64,895 ",
392,,,,Mercedes,2020 Mercedes-Benz S-Class,"$139,595 ",
393,,,,Mercedes,2020 Mercedes-Benz SL,"$91,995 ",
394,,,,Mercedes,2020 Mercedes-Benz SLC,"$50,945 ",
395,,,,,2020 Tesla Model 3,"$39,190 ",Tesla
396,,,,,2020 Tesla Model S,"$81,190 ",Tesla
397,,,,,2019 Tesla Model X,"$83,200 ",Tesla
398,,,,,2020 Tesla Model Y,"$54,190 ",Tesla
399,,,,,2020 Lincoln Continental,"$60,865 ",Ford
400,,,,,2020 Lincoln MKZ,"$37,745 ",Ford
401,,,,,2020 Lincoln Aviator,"$52,195 ",Ford
402,,,,,2020 Lincoln Corsair,"$36,940 ",Ford
403,,,,,2019 Lincoln MKC,"$37,745 ",Ford
404,,,,,2019 Lincoln MKT,"$50,495 ",Ford
405,,,,,2020 Lincoln Nautilus,"$42,035 ",Ford
406,,,,,2020 Lincoln Navigator,"$83,020 ",Ford
407,,,,,2020 Lincoln Navigator L,"$86,220 ",Ford
408,,,,,2020 Lincoln Aviator-Hybrid,"$69,895 ",Ford
409,,,,,2019 Cadillac ATS,"$39,990 ",GM
410,,,,,2019 Cadillac ATS-V,"$68,790 ",GM
411,,,,,2019 Cadillac CT6-V,"$92,790 ",GM
412,,,,,2019 Cadillac CTS,"$47,990 ",GM
413,,,,,2019 Cadillac CTS-V,"$87,990 ",GM
414,,,,,2019 Cadillac XTS,"$47,890 ",GM
415,,,,,2020 Cadillac CT4,"$33,990 ",GM
416,,,,,2020 Cadillac CT5,"$37,890 ",GM
417,,,,,2020 Cadillac CT6,"$59,990 ",GM
418,,,,,2020 Cadillac Escalade,"$76,490 ",GM
419,,,,,2020 Cadillac Escalade ESV,"$79,490 ",GM
420,,,,,2020 Cadillac XT4,"$36,690 ",GM
421,,,,,2020 Cadillac XT5,"$49,790 ",GM
422,,,,,2020 Cadillac XT6,"$53,690 ",GM
423,,,,,2021 Buick Encore,"$24,195 ",GM
424,,,,,2021 Buick Encore GX,"$25,195 ",GM
